pair_id,omega,sentence_id,text,tok_count,content_tok_count,phi_pre,phi_post,loss_u,class,class_cycle4
D03_0018,Omega_C,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0018,"Guerrillas killed an engineer, Asi Ali, from Tikrit.",11,6,0.501818,0.158182,0.343636,degenerativo,degenerativo
D03_0019,Omega_A,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0019,"They also killed Shaikh Hamid 'Akkab, a clan elder of a branch of the Dulaim tribe in Tikrit.",20,11,0.613,0.3305,0.2825,degenerativo,ambiguo
D03_0020,Omega_B,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0020,His mother was also killed in the attack.,9,4,0.407111,0.104889,0.302222,degenerativo,degenerativo
D03_0021,Omega_C,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0021,Two other Dulaim leaders have been killed in the past week and a half.,15,7,0.494667,0.211333,0.283333,degenerativo,ambiguo
D03_0022,Omega_A,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0022,"Guerrillas near Hawijah launched an attack that left 6 dead, including 4 Iraqi soldiers.",16,9,0.57375,0.284375,0.289375,degenerativo,degenerativo
D03_0023,Omega_B,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0023,One of them was from the Jubur tribe and was deputy commander of the Hawijah garrison.,17,6,0.439059,0.141412,0.297647,degenerativo,degenerativo
D03_0024,Omega_C,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0024,"Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad on Friday, protesting the killing of their clan elder, Shaikh Kadhim Sarhid and 4 of his sons, by gunmen wearing Iraqi army uniforms.",40,20,0.65,0.36,0.29,degenerativo,degenerativo
D03_0025,Omega_A,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025,"(This is a largely Sunni Arab clan, and some Sunni observers have accused Shiite elements in the government of being behind the assassination; it is more likely the work of Sunni Arab guerrillas punishing the Batawi leaders for cooperating with the Dec. 15 elections.)",49,23,0.628571,0.333265,0.295306,degenerativo,degenerativo
D03_0026,Omega_B,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0026,Al-Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec. 15 elections on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office.,51,27,0.670588,0.399412,0.271176,ambiguo,preservativo
D03_0027,Omega_C,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0027,The Commission said it had no legal grounds for such an exclusion.,13,6,0.467077,0.179385,0.287692,degenerativo,degenerativo
D03_0028,Omega_A,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0028,This item is a small one and easily missed.,10,5,0.458,0.168,0.29,degenerativo,degenerativo
D03_0029,Omega_B,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0029,But in my view it is highly significant.,9,3,0.329333,0.010444,0.318889,degenerativo,degenerativo
D03_0030,Omega_C,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0030,"The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard, and had pushed many Sunni Arabs into the arms of the guerrillas.",30,16,0.673333,0.4,0.273333,ambiguo,preservativo
D03_0031,Omega_A,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0031,"Chalabi has been increasingly marginalized within Iraq, however, despite his ties of clientelage with Washington and Tehran.",20,9,0.543,0.228,0.315,degenerativo,degenerativo
D03_0032,Omega_B,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0032,"He is no longer in the dominant Shiite list, the United Iraqi Alliance, and won't have many seats in the new parliament.",26,13,0.65,0.354615,0.295385,degenerativo,degenerativo
D03_0033,Omega_C,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0033,"Some 2,000 junior officers of the old Baath army have been recalled to duty in recent months, something Chalabi would have blocked if he could have.",28,11,0.575,0.278929,0.296071,degenerativo,degenerativo
D03_0034,Omega_A,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0034,Now the Electoral Commission is refusing to punish people for mere past Baath Party membership.,16,11,0.66125,0.4125,0.24875,ambiguo,preservativo
D03_0035,Omega_B,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0035,The situation in Iraq is only going to get better this way.,13,7,0.520923,0.244769,0.276154,ambiguo,ambiguo
D03_0036,Omega_C,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0036,"If someone committed a crime against humanity, prosecute the person.",12,5,0.423667,0.097833,0.325833,degenerativo,degenerativo
D03_0037,Omega_A,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0037,"If he or she did not, then they should have all the same rights as other Iraqis.",19,6,0.437053,0.117579,0.319474,degenerativo,degenerativo
D03_0038,Omega_B,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0038,Al-Sharq al-Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died.,26,13,0.65,0.354615,0.295385,degenerativo,degenerativo
D03_0039,Omega_C,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0039,A team from the court managed to take his deposition before he died.,14,6,0.456,0.165286,0.290714,degenerativo,degenerativo
D03_0040,Omega_A,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0040,The trial begins again Nov.28.,7,4,0.472,0.177714,0.294286,degenerativo,degenerativo
D03_0041,Omega_B,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0001,"In Baghdad the fighting still continues in several areas, mostly in Sadr city and Adhamiya.",17,10,0.603765,0.320824,0.282941,degenerativo,ambiguo
D03_0042,Omega_C,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0002,"Baghdadis don't venture much out of their neighbourhoods any more, you never know where you might get stuck.",21,11,0.606667,0.321905,0.284762,degenerativo,degenerativo
D03_0043,Omega_A,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0003,There has been talk that the night curfew might be implemented again.,13,6,0.467077,0.179385,0.287692,degenerativo,degenerativo
D03_0044,Omega_B,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0004,"My neighbourhood has been surrounded by American troops for three days now, helicopters have been circling over our heads non-stop.",22,10,0.570182,0.276545,0.293636,degenerativo,degenerativo
D03_0045,Omega_C,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0005,Fedayeen are now visible on the street and they have become bolder than ever.,15,7,0.494667,0.211333,0.283333,degenerativo,ambiguo
D03_0046,Omega_A,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0006,"Yesterday there were tens of them putting road blocks on our street and setting up mortars, they only come out in the open when Americans leave the area, then they start firing mortars indiscriminately and shooting their AK-47's in the air.",46,26,0.695652,0.42,0.275652,ambiguo,preservativo
D03_0047,Omega_B,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0007,"They are setting the road blocks at the exact same positions they were during the war last year, which indicates they are the same people.",27,12,0.611111,0.321852,0.289259,degenerativo,degenerativo
D03_0048,Omega_C,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0008,"And there is nothing we can do about it really, people who are suggesting that we go out and fight them are living in dream land.",28,11,0.575,0.278929,0.296071,degenerativo,degenerativo
D03_0049,Omega_A,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0009,"Even the IP and ICDC have abandoned the neighbourhood, and those are trained and armed, so don't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank doesn't bomb them, and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen?",60,28,0.626667,0.343333,0.283333,degenerativo,ambiguo
D03_0050,Omega_B,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0010,"Everyone is apprehensive, there is some talk that April 9th and 10th are going to be bloody days.",20,9,0.543,0.2455,0.2975,degenerativo,degenerativo
D03_0051,Omega_C,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0011,"Most people haven't gone to work the last few days, although it seems that the rest of Baghdad is 'normal' (if you can define what normal is).",34,13,0.567647,0.233235,0.334412,degenerativo,degenerativo
D03_0052,Omega_A,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012,"There are rumours about preparations by slum dwellers for another looting spree against banks, governmental and public property similar to the one that took place last April, and I have already overheard youngsters in my neighbourhood joking about it and saying things like ""This time we will be the first to loot, we didn't get anything the last time"".",66,30,0.618182,0.324545,0.293636,degenerativo,degenerativo
D03_0053,Omega_B,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0013,"Mosques are calling for donating blood, food, and medicine for Fallujah, and several convoys have already headed out for Fallujah, most of them returned later though.",31,17,0.683871,0.379677,0.304194,degenerativo,degenerativo
D03_0054,Omega_C,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014,"What irritates me is this sudden false 'solidarity' between Sunni and Shi'ite clerics, we all know that they would be glad to get at each others throats when they have the chance, and Shia clerics were describing Fallujan insurgents as 'Ba'athists', 'Saddamites', 'Wahhabis', and 'terrorists' just a few days ago.",67,28,0.592537,0.241642,0.350896,degenerativo,degenerativo
D03_0055,Omega_A,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0015,So what happened?,4,2,0.386,0.0435,0.3425,degenerativo,degenerativo
D03_0056,Omega_B,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0016,"I guess it's just the old new Arab 'Me against my brother, me and my brother against my cousin, me and my cousin against my enemy', or 'The enemy of my enemy is my friend' thing going on again.",48,16,0.533333,0.195,0.338333,degenerativo,degenerativo
D03_0057,Omega_C,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0017,"Speaking of Fallujah, we have only Al-Jazeera to rely on for our news from there.",19,9,0.547579,0.233368,0.314211,degenerativo,degenerativo
D03_0058,Omega_A,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0018,"They have sent over their top reporter Ahmed Mansour to the town, and he is spouting all kinds of propaganda hourly reminding me of Al-Sahhaf.",29,14,0.637931,0.344138,0.293793,degenerativo,degenerativo
D03_0059,Omega_B,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0019,"""They are targetting ambulances"", ""American snipers are shooting children and pregnant women"", and ""They are using cluster bombs against civilians"" is all you get to hear from him.",37,14,0.564865,0.206486,0.358378,degenerativo,degenerativo
D03_0060,Omega_C,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0020,"He did once make an unforgivable error when he mentioned that Fallujan militants were shooting at the Marines from the roofs of mosques and houses in Hay Al-Golan, but of course that is okay for Al-Jazeera.",42,20,0.633333,0.341429,0.291905,degenerativo,degenerativo
D03_0061,Omega_A,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0021,Someone who called himself Abu Hafs from the Ibn Al-Khattab Brigades (another new group) was on Al-Jazeera describing the enormous casualties among the Marines and he sweared that American soldiers were mutilating the bodies of dead insurgents.,44,22,0.65,0.355227,0.294773,degenerativo,degenerativo
D03_0062,Omega_B,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0022,Over 300 Iraqis are reported dead and 500 wounded in Fallujah alone.,13,7,0.520923,0.244769,0.276154,ambiguo,ambiguo
D03_0063,Omega_C,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0023,Al-Iraqiyah tv said that ICDC were controlling Ramadi.,11,7,0.565455,0.267273,0.298182,degenerativo,degenerativo
D03_0064,Omega_A,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0024,"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin, an Al-Qaeda operative in Saudi Arabia on an Islamic website 'the voice of Jihad', in which he stated that ""although mutilating dead bodies is not originally permitted in Islam, but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions"".",70,34,0.64,0.337857,0.302143,degenerativo,degenerativo
D03_0065,Omega_B,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0025,"He added that ""America does not understand anything except the language of force and retaliation, they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see"", and that ""the day will come when the dead bodies of Americans and Jews would be dragged, defiled, and stepped on in the Arabian peninsula together with their agents and supporters"".",76,30,0.576316,0.264079,0.312237,degenerativo,degenerativo
D03_0066,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0001,Elena's motorcycle tour through the region around Chernobyl has revived interest in one of the most serious nuclear disasters in history.,23,12,0.629217,0.362261,0.266957,ambiguo,preservativo
D03_0067,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0002,"We all know what happened, but even to this day, there are many different versions and opinions on how it happened and what effect Chernobyl will have on the health of people affected by the fallout.",39,18,0.623077,0.335385,0.287692,degenerativo,degenerativo
D03_0068,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0003,UPDATE:,2,1,0.362,0.0,0.43,degenerativo,degenerativo
D03_0069,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0004,Now you can tour Chernobyl and write your own story.,11,6,0.501818,0.221818,0.28,ambiguo,ambiguo
D03_0070,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0005,This is not a post about fault-finding or assigning blame.,13,5,0.413231,0.087077,0.326154,degenerativo,degenerativo
D03_0071,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0006,It is a time to learn what happened and how it may affect the future.,16,6,0.4425,0.146875,0.295625,degenerativo,degenerativo
D03_0072,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0007,There was a soothing authoritative UNSCEAR (United Nations Scientific Committee on the Effects of Atomic Radiation ) report in 2000 on the health effects of Chernobyl confirming that there was no scientific evidence of any significant radiation-related health effects to most people exposed.,47,27,0.702128,0.428511,0.273617,ambiguo,preservativo
D03_0073,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0008,This was heavily promoted by the Australasian Radiation Protection Society in a press release titled THE MYTHS OF CHERNOBYL which contained the following:,24,13,0.655167,0.391833,0.263333,ambiguo,preservativo
D03_0074,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0009,"One of the most widespread myths of recent times is that the Chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions, and that public health has been severely affected by exposure to radiation.",42,23,0.683333,0.41881,0.264524,ambiguo,preservativo
D03_0075,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0010,"Many people still believe that to be true, even though the Ministry of Russian Federation on Civil Defence, Emergencies and Elimination of Conseguences of Natural Disasters (EMERCOM of Russia) reported this in 1996:",38,19,0.65,0.348947,0.301053,degenerativo,degenerativo
D03_0076,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0011,CHERNOBYL ACCIDENT: TEN YEARS ON,6,4,0.526667,0.238333,0.288333,degenerativo,degenerativo
D03_0077,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0012,"In the last decade, there has been a real and significant increase in childhood and, to a certain extent, adult carcinoma of the thyroid in contaminated regions of the former Soviet Union (Wi940) which should be attributed to the Chernobyl accident until proven otherwise.",50,23,0.622,0.319,0.303,degenerativo,degenerativo
D03_0078,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0013,The prestigious IAEA (International Atomic Energy Agency) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects.,33,19,0.70303,0.427576,0.275455,ambiguo,preservativo
D03_0079,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0014,"However, in April 2001, the IAEA published Fifteen Years after the Chernobyl Accident - Lessons learned. which contradict the earlier reports.",25,12,0.624,0.296,0.328,degenerativo,degenerativo
D03_0080,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0015,Here are some excerpts:,5,2,0.328,0.0,0.34,degenerativo,degenerativo
D03_0081,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0016,"The dramatic increase in radiation-induced thyroid cancers in children and adolescents in Belarus, Russia, and Ukraine, which have been observed since 1991, continues to this day.",33,14,0.59697,0.26697,0.33,degenerativo,degenerativo
D03_0082,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0017,"...a drop in the birth rate, a deterioration in women's reproductive health, an increase in complications during pregnancy and birth, and a deterioration in neonatal health....",32,14,0.60625,0.287187,0.319062,degenerativo,degenerativo
D03_0083,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0018,"The dynamics of change in the state of health of children affected by the Chernobyl accident in all three countries - Belarus, Russia, and Ukraine - in the post-accident period is characterized by persistent negative tendencies: the morbidity rate is going up, the number of really healthy children is dropping, and disability is increasing .",60,29,0.638333,0.334167,0.304167,degenerativo,degenerativo
D03_0084,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0019,"As a parent, I can well imagine how painful it must be for those families whose children are succumbing to radiation poisoning.",24,10,0.567667,0.271,0.296667,degenerativo,degenerativo
D03_0085,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0020,There is a lot to learn about Chernobyl.,9,4,0.407111,0.104889,0.302222,degenerativo,degenerativo
D03_0086,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0021,Being well-informed will give you certainty and that is desirable in a world of conflicting reports.,19,8,0.510737,0.207053,0.303684,degenerativo,degenerativo
D03_0087,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0022,There are a wealth of references on Chernobyl.,9,4,0.407111,0.104889,0.302222,degenerativo,degenerativo
D03_0088,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0023,Read some of the following links and draw your own conclusions.,12,6,0.482,0.197833,0.284167,degenerativo,degenerativo
D03_0089,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0024,These links present the many viewpoints that existed and still exist about the disaster called Chernobyl:,17,10,0.603765,0.341412,0.262353,ambiguo,preservativo
D03_0090,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0025,IAEA Report Lessons learned,4,4,0.736,0.556,0.18,ambiguo,preservativo
D03_0091,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0026,http://www.ibiblio.org/expo/soviet.exhibit/chernobyl.html,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0092,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0027,http://www.ibrae.ac.ru/IBRAE/eng/chernobyl/nat_rep/nat_repe.htm#24,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0093,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0028,http://www.nsrl.ttu.edu/chernobyl/wildlifepreserve.htm,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0094,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0029,http://www.environmentalchemistry.com/yogi/hazmat/articles/chernobyl1.html,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0095,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0030,http://digon_va.tripod.com/Chernobyl.htm,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0096,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0031,http://www.oneworld.org/index_oc/issue196/byckau.html,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0097,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0032,http://www.collectinghistory.net/chernobyl/,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0098,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0033,http://www.ukrainianweb.com/chernobyl_ukraine.htm,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0099,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0034,http://www.bullatomsci.org/issues/1993/s93/s93Marples.html,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0100,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0035,http://www.calguard.ca.gov/ia/Chernobyl-15%20years.htm,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0101,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0036,http://www.infoukes.com/history/chornobyl/gregorovich/index.html,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0102,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0037,http://www.un.org/ha/chernobyl/,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0103,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0038,http://www.tecsoc.org/pubs/history/2002/apr26.htm,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0104,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0039,http://www.chernobyl.org.uk/page2.htm,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0105,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0040,http://www.time.com/time/daily/chernobyl/860901.accident.html,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0106,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0041,http://www.infoukes.com/history/chornobyl/elg/,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0107,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0042,http://www.world-nuclear.org/info/chernobyl/inf07.htm,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0108,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0043,http://www.nea.fr/html/rp/chernobyl/conclusions5.html,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0109,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0044,http://www.nea.fr/html/rp/chernobyl/c01.html,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0110,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0045,http://www.nea.fr/html/rp/chernobyl/c05.html,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0111,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0046,http://www.physics.isu.edu/radinf/chern.htm,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0112,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0047,http://www.chernobyl.info/en,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0113,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0048,http://www.arps.org.au/Chernobyl.htm,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0114,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0049,http://www-formal.stanford.edu/jmc/progress/chernobyl.html,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0115,Omega_A,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0050,http://www.21stcenturysciencetech.com/articles/chernobyl.html,1,1,0.7,0.52,0.18,ambiguo,preservativo
D03_0116,Omega_B,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0051,I would be interested in hearing what conclusions you reached and what you found that was most convincing.,19,7,0.473895,0.180737,0.293158,degenerativo,degenerativo
D03_0117,Omega_C,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0052,radiation:,2,1,0.362,0.0,0.43,degenerativo,degenerativo
