task_id,split,omega,source1,source2,sentence1,sentence2,gold_score,gold_score_norm
A01_0169,dev,Omega_A,none,none,A man is playing a guitar.,A man is cleaning a cd.,0.833,0.1666
A01_0170,dev,Omega_B,none,none,Someone is pouring chicken broth into a pot.,The man is pouring broth into the pot.,3.75,0.75
A01_0171,dev,Omega_C,none,none,A woman is chopping an onion.,A woman is chopping garlic with a knife.,1.8,0.36
A01_0172,dev,Omega_A,none,none,The man is shaking hands with other men.,A man is shaking another mans hand.,4.333,0.8666
A01_0173,dev,Omega_B,none,none,A target is being hit with gun fire.,The target was being shot with bullets.,4.214,0.8428
A01_0174,dev,Omega_C,none,none,A woman is applying makeup.,A man is playing a guitar.,0.0,0.0
A01_0175,dev,Omega_A,none,none,A woman is slicing a big pepper.,A person is cutting a green pepper.,3.4,0.68
A01_0176,dev,Omega_B,none,none,A man puts some cheese on a pizza.,A man is sprinkling shredded cheese on a pizza.,4.2,0.84
A01_0177,dev,Omega_C,none,none,A man is staring at a leaf.,A man is slicing a vegetable.,0.8,0.16
A01_0178,dev,Omega_A,none,none,A person is picking a komodo dragon and putting it in a box.,A person is placing a baby komodo dragon into a container.,4.2,0.84
A01_0179,dev,Omega_B,none,none,A person drops a camera down an escelator.,A man tosses a bag down an escalator.,2.75,0.55
A01_0180,dev,Omega_C,none,none,The man is playing the keyboards.,A man is playing guitar.,2.2,0.44
A01_0181,dev,Omega_A,none,none,A woman is applying eye shadow.,A woman is washing a bowl.,1.2,0.24
A01_0182,dev,Omega_B,none,none,A woman is playing the flute.,A man is playing a keyboard.,1.0,0.2
A01_0183,dev,Omega_C,none,none,A man is riding on a horse.,A woman is riding an elephant.,1.533,0.3066
A01_0184,dev,Omega_A,none,none,A man is playing flute.,A man is dancing.,0.2,0.04
A01_0185,dev,Omega_B,none,none,A tiger is walking around his cage.,A tiger walks around aimlessly.,3.0,0.6
A01_0186,dev,Omega_C,none,none,A person pours cooking oil into a pot.,A person is pouring olive oil into a pot on the stove.,3.8,0.76
A01_0187,dev,Omega_A,none,none,A woman is cutting potato.,A woman is riding a horse.,0.75,0.15
A01_0188,dev,Omega_B,none,none,A parrot is talking.,A parrot is talking into a microphone.,3.0,0.6
A01_0189,dev,Omega_C,none,none,A man is singing into a microphone.,A man is dancing in the rain.,0.4,0.08
A01_0190,dev,Omega_A,none,none,A woman is exercising.,A woman lifts weights.,3.4,0.68
A01_0191,dev,Omega_B,none,none,A child runs into and out of the ocean waves.,A young boy is running toward and from the ocean waves.,3.8,0.76
A01_0192,dev,Omega_C,none,none,A man is playing the piano.,A man is playing a wooden flute.,1.4,0.28
A01_0193,dev,Omega_A,none,none,A guy is riding a horse.,A man is riding a horse in the desert.,3.4,0.68
A01_0194,dev,Omega_B,none,none,A dog is stealing food from a refrigerator.,The dog took something out of the refrigerator.,3.2,0.64
A01_0195,dev,Omega_C,none,none,A person uses a blowtorch on two cameras.,A person is burning cameras.,2.333,0.4666
A01_0196,dev,Omega_A,none,none,A man is putting a knife in a vice.,A man is getting into a car in a garage.,0.8,0.16
A01_0197,dev,Omega_B,none,none,A woman is cooking meat.,A man is speaking.,0.0,0.0
A01_0198,dev,Omega_C,none,none,A puppy is trying to come out from the sink.,The puppy tried to get out of the tub.,3.0,0.6
A01_0199,dev,Omega_A,none,none,A person is folding a square paper piece.,A person folds a piece of paper.,3.75,0.75
A01_0200,dev,Omega_B,none,none,The boy is playing the piano.,The woman is pouring oil into the pan.,0.0,0.0
A01_0201,dev,Omega_C,none,none,A man is cutting a potato.,A woman is climbing a rock wall.,0.0,0.0
A01_0202,dev,Omega_A,none,none,A woman is feeding a baby.,A man is adding water to pan.,0.0,0.0
A01_0203,dev,Omega_B,none,none,A man is playing a guitar.,A woman is riding a horse.,0.5,0.1
A01_0204,dev,Omega_C,none,none,A woman is mixing eggs.,The woman is eating.,0.5,0.1
A01_0205,dev,Omega_A,none,none,A man is riding on a boat.,A man is tying in the machine.,0.4,0.08
A01_0206,dev,Omega_B,none,none,A man is serving cake.,A man seasoning quail.,0.75,0.15
A01_0207,dev,Omega_C,none,none,Someone is greating a carrot.,A woman is grating an orange food.,2.5,0.5
A01_0208,dev,Omega_A,none,none,A man is standing on a roof top playing a violin.,A man is on a roof dancing.,1.8,0.36
A01_0209,dev,Omega_B,none,none,A monkey is karate kicking a person.,A monkey pratices martial arts.,2.5,0.5
A01_0210,dev,Omega_C,none,none,A man shappens a knife.,A man carries a women.,0.5,0.1
A01_0211,dev,Omega_A,none,none,A woman is brushing her feet.,A woman is chopping an onion.,0.4,0.08
A01_0212,dev,Omega_B,none,none,A woman is removing skin from some meat.,A woman is slicing a tomato.,1.2,0.24
A01_0213,dev,Omega_C,none,none,A man is stirring ingredients in a bowl.,A man is beating two eggs in a bowl with a fork.,2.75,0.55
A01_0214,dev,Omega_A,none,none,A woman is relaxing in a bath tub.,A woman is stabbing a potato with a fork.,0.4,0.08
A01_0215,dev,Omega_B,none,none,A woman is adding oil on fishes.,The woman is cutting potatoes.,0.6,0.12
A01_0216,dev,Omega_C,none,none,A woman is writing something.,A woman is chopping green onions.,0.8,0.16
A01_0217,dev,Omega_A,none,none,A baby eats his food.,A baby is being fed peas.,3.0,0.6
A01_0218,dev,Omega_B,none,none,A man is slicing a carrot by a machine.,A man is standing in the rain.,0.4,0.08
A01_0219,dev,Omega_C,none,none,A man is playing a guitar and singing on a stage.,A man is playing the electric guitar.,3.2,0.64
A01_0220,dev,Omega_A,none,none,A boy is playing a piano.,A man is singing and playing a guitar.,1.25,0.25
A01_0221,dev,Omega_B,none,none,The person is starting a fire.,A person makes fire.,5.0,1.0
A01_0222,dev,Omega_C,none,none,A woman is riding a horse on the beach.,A woman is washing a bowl.,0.2,0.04
A01_0223,dev,Omega_A,none,none,A person is chopping an herb.,A man is finely chopping a green substance.,3.0,0.6
A01_0224,dev,Omega_B,none,none,A woman is collecting tap water in a mug.,A boy is filling a pitcher with water.,1.4,0.28
A01_0225,dev,Omega_C,none,none,A person is whisking eggs in a bowl.,A woman is beating two eggs in a bowl using a wire whisk.,3.8,0.76
A01_0226,dev,Omega_A,none,none,The dog could not figure out how to get a stick out the doggy door.,A dog is trying to get through his dog door.,2.75,0.55
A01_0227,dev,Omega_B,none,none,A woman is mixing eggs in the bowl.,A man is doing push ups.,0.0,0.0
A01_0228,dev,Omega_C,none,none,The lady made some slices on the shrimp.,A chef is slicing a shrimp.,2.8,0.56
A01_0229,dev,Omega_A,none,none,Someone is mixing a liquid.,A man is playing a guitar.,0.0,0.0
A01_0230,dev,Omega_B,none,none,A woman is slicing big pepper.,A man is playing an instrument.,0.0,0.0
A01_0231,dev,Omega_C,none,none,The animal with the big eyes is eating.,A slow loris is eating.,2.6,0.52
A01_0232,dev,Omega_A,none,none,A baby is crawling happily.,A cat is walking on hardwood floor.,0.1,0.02
A01_0233,dev,Omega_B,none,none,A tiger club is playing with a ball.,A person is chopping shrimp with a knife.,0.0,0.0
A01_0234,dev,Omega_C,none,none,A woman is slicing fruit.,Two women are slicing some lemons.,2.0,0.4
A01_0235,dev,Omega_A,none,none,The flag was moving in the air.,A flag is waving.,3.75,0.75
A01_0236,dev,Omega_B,none,none,The baby laughed in his car seat.,A baby is laughing.,3.1,0.62
A01_0237,dev,Omega_C,none,none,A dog knocks a boy into the water twice.,A dog pushes a toddler into a rain puddle.,2.692,0.5384
A01_0238,dev,Omega_A,none,none,The bird is taking a bath under the faucet.,A bird is bathing in a sink.,4.429,0.8858
A01_0239,dev,Omega_B,none,none,A man plays the guitar and sings.,A man is singing and playing a guitar.,5.0,1.0
A01_0240,dev,Omega_C,none,none,Women are holding each other and dancing together.,Two men are playing table tennis.,0.0,0.0
A01_0241,dev,Omega_A,none,none,The man is trying to feed the snake with a mouse.,A man is working on his laptop.,0.8,0.16
A01_0242,dev,Omega_B,none,none,A tiger is playing with his trainer.,A tiger attacks a man.,1.333,0.2666
A01_0243,dev,Omega_C,none,none,A cat is playing with a watermelon on a floor.,A man is pouring oil into a pan.,0.0,0.0
A01_0244,dev,Omega_A,none,none,A cat retrieves an object out of a dish of water.,The cat tried to eat the corn on the cob.,0.6,0.12
A01_0245,dev,Omega_B,none,none,A chef is slicing carrot.,A person is drawing a picture.,0.0,0.0
A01_0246,dev,Omega_C,none,none,A woman is adding some mushrooms and liquid to a pot.,A young man is playing the guitar.,0.0,0.0
A01_0247,dev,Omega_A,none,none,A man is passionately playing a guitar in front of an audience.,A woman is peeling a potato.,0.0,0.0
A01_0248,dev,Omega_B,none,none,Someone drew on Washington's face on the dollar.,A person draws on a dollar bill.,3.4,0.68
A01_0249,dev,Omega_C,none,none,The girl is slicing an onion.,A woman is chopping an onion into small pieces.,2.2,0.44
A01_0250,dev,Omega_A,none,none,The man is aiming a gun.,A boy is playing on a toy phone.,0.0,0.0
A01_0251,dev,Omega_B,none,none,A cat standing on tree branches.,A black and white cat is high up on tree branches.,3.6,0.72
A01_0252,dev,Omega_C,none,none,The lamb is looking at the camera.,A small bird standing on a log at the waters edge.,0.0,0.0
A01_0253,dev,Omega_A,none,none,A bull standing in the field.,A brown horse stands in a lush green field.,1.4,0.28
A01_0254,dev,Omega_B,none,none,The black and white cows pause in front of the gate.,A black cow and a brown cow stands in a plain in front of an uprooted tree.,2.2,0.44
A01_0255,dev,Omega_C,none,none,A group of four people in a dinner having cake.,Four people eating dessert around a table.,3.8,0.76
A01_0256,dev,Omega_A,none,none,A group of people eat at a table outside.,A group of elderly people pose around a dining table.,2.6,0.52
A01_0257,dev,Omega_B,none,none,Older man wearing beret with mountains in background.,A sheep in the morning mist with trees in the background.,0.4,0.08
A01_0258,dev,Omega_C,none,none,The cows feed in the trough.,The brown and white cows are eating in the trough.,4.0,0.8
A01_0259,dev,Omega_A,none,none,A small red and gray bird perched amongst the bare branches of a tree.,A red and brown bird is perched on branches.,2.25,0.45
A01_0260,dev,Omega_B,none,none,A black and wood colored dining room set in a small apartment.,Black and brown table in living room setting.,3.2,0.64
A01_0261,dev,Omega_C,none,none,A bag of cotton in front of a couch.,Calico cat sitting on step in front of a door.,0.0,0.0
A01_0262,dev,Omega_A,none,none,Two horses standing in a field with trees in the background.,A black and white bird on a body of water with grass in the background.,0.4,0.08
A01_0263,dev,Omega_B,none,none,Red double decker bus driving down a street.,A red two story bus driving along the street.,3.8,0.76
